Country,Age,Employment,EdLevel,DevCategory,DevType,CompTotal,CompRange
Italy,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",85000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",53000.0,50k-100k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, back-end",61573.302305721605,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
Spain,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, mobile",91000.0,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",77900.0,50k-100k
Germany,25-34,Employed,PhD,Software Development Roles,"Developer, embedded applications or devices",80000.0,50k-100k
Spain,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Netherlands,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",45000.0,0-50k
Spain,18-24,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",60681.50151057402,50k-100k
Germany,25-34,Employed,Master,Specialized Technical Roles,Security professional,89000.0,50k-100k
Germany,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Project manager,45000.0,0-50k
Spain,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Project manager,42000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, back-end",62000.0,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, back-end",74286.58673469388,50k-100k
Italy,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,16383.0,0-50k
Austria,25-34,Employed,Master,Specialized Technical Roles,"Developer, QA or test",74286.58673469388,50k-100k
Germany,35-44,Freelancer,PhD,Software Development Roles,"Developer, front-end",91367.40076335878,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",79000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",80975.01548387097,50k-100k
Finland,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",95000.0,50k-100k
Netherlands,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",75647.9641025641,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",105000.0,100k-200k
Croatia,35-44,Freelancer,Master,Software Development Roles,"Developer, back-end",50000.0,50k-100k
Germany,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",100000.0,100k-200k
France,35-44,Employed,Master,Software Development Roles,"Developer, back-end",42000.0,0-50k
Slovakia,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles",Project manager,45000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",44000.0,0-50k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,75000.0,50k-100k
Slovakia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",46000.0,0-50k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",40000.0,0-50k
France,35-44,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,60000.0,50k-100k
Germany,25-34,Freelancer,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,35000.0,0-50k
Bulgaria,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, front-end",60000.0,50k-100k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Spain,45-54,Employed,Master,Software Development Roles,"Developer, back-end",63460.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",110000.0,100k-200k
Portugal,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
France,25-34,Freelancer,Master,Software Development Roles,"Developer, front-end",90000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",98000.0,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",53000.0,50k-100k
Italy,18-24,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",12375.0,0-50k
Austria,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",83000.0,50k-100k
Romania,35-44,Freelancer,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,180000.0,100k-200k
Germany,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",100000.0,100k-200k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",75647.9641025641,50k-100k
France,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",24000.0,0-50k
Netherlands,55-64,Employed,PhD,Software Development Roles,"Developer, full-stack",87834.77966101695,50k-100k
Italy,18-24,Employed,Master,Software Development Roles,"Developer, back-end",51639.30034129693,50k-100k
Austria,35-44,Employed,Master,Specialized Technical Roles,Security professional,90000.0,50k-100k
Netherlands,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,48000.0,0-50k
Belgium,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Austria,35-44,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",80000.0,50k-100k
Slovakia,18-24,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,37200.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",62000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Germany,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
Italy,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, front-end",65000.0,50k-100k
France,25-34,Freelancer,Master,"DevOps, Cloud, and Site Reliability Engineering","Engineer, site reliability",170000.0,100k-200k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Netherlands,25-34,Employed,Master,Software Development Roles,"Developer, back-end",72000.0,50k-100k
Greece,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",36400.0,0-50k
Ireland,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles",Developer Advocate,102727.61627906976,100k-200k
Netherlands,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
France,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",51000.0,50k-100k
Finland,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Germany,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Greece,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",35561.0,0-50k
Germany,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",77600.0,50k-100k
Netherlands,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,64000.0,50k-100k
Ireland,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",120000.0,100k-200k
Netherlands,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Slovakia,55-64,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",90000.0,50k-100k
Estonia,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",59110.38181818182,50k-100k
Germany,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,100000.0,100k-200k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",56991.7247706422,50k-100k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, back-end",80975.01548387097,50k-100k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Italy,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",20000.0,0-50k
Croatia,25-34,Employed,Bachelor,Specialized Technical Roles,"Developer, QA or test",47000.0,0-50k
Italy,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80000.0,50k-100k
Germany,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,140000.0,100k-200k
France,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",39000.0,0-50k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, front-end",27000.0,0-50k
Greece,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Netherlands,35-44,Freelancer,Master,Software Development Roles,"Developer, front-end",108000.0,100k-200k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",46858.40754716981,0-50k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",64000.0,50k-100k
Austria,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,82811.39416058394,50k-100k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",180000.0,100k-200k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",98500.0,50k-100k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",56991.7247706422,50k-100k
Latvia,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",30000.0,0-50k
Spain,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,72000.0,50k-100k
France,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,55000.0,50k-100k
Finland,25-34,Employed,Master,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Italy,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Spain,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
France,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",53217.56870229008,50k-100k
Germany,35-44,Employed,Master,Data Science and Analysis Roles,Data or business analyst,50000.0,50k-100k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, mobile",40000.0,0-50k
Italy,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",47000.0,0-50k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",126000.0,100k-200k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",105000.0,100k-200k
France,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
Netherlands,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",87023.48401826483,50k-100k
Netherlands,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",38000.0,0-50k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Italy,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",28000.0,0-50k
Austria,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,62000.0,50k-100k
Spain,25-34,Employed,Bachelor,Specialized Technical Roles,Database administrator,50000.0,50k-100k
Germany,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,68000.0,50k-100k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",45000.0,0-50k
Greece,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",45584.52413793103,0-50k
France,25-34,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,67008.79096045198,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Spain,25-34,Freelancer,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,42000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",76500.0,50k-100k
Netherlands,25-34,Freelancer,Master,Software Development Roles,"Developer, back-end",160000.0,100k-200k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",115000.0,100k-200k
Belgium,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",97000.0,50k-100k
Netherlands,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,175000.0,100k-200k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",51639.30034129693,50k-100k
Spain,55-64,Employed,Master,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Germany,55-64,Employed,PhD,Software Development Roles,"Developer, embedded applications or devices",65000.0,50k-100k
Finland,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80000.0,50k-100k
Ireland,45-54,Employed,Bachelor,"Academic, Educational, and Research Roles",Educator,94536.61971830986,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",58000.0,50k-100k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, back-end",60681.50151057402,50k-100k
France,64+,Retired,PhD,Software Development Roles,"Developer, desktop or enterprise applications",67008.79096045198,50k-100k
Finland,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",72000.0,50k-100k
France,45-54,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",30000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",70000.0,50k-100k
Greece,25-34,Employed,Master,Software Development Roles,"Developer, back-end",48000.0,0-50k
Spain,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,45000.0,0-50k
Czech Republic,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",25000.0,0-50k
Spain,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",19000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",62100.0,50k-100k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, back-end",50000.0,50k-100k
Greece,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",63000.0,50k-100k
France,64+,Freelancer,PhD,Software Development Roles,"Developer, full-stack",67008.79096045198,50k-100k
Slovenia,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",45000.0,0-50k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",40000.0,0-50k
Netherlands,18-24,Employed,PhD,Software Development Roles,"Developer, full-stack",59515.491228070176,50k-100k
Spain,45-54,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,60000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",80975.01548387097,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",44000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",51570.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",82500.0,50k-100k
France,35-44,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,30000.0,0-50k
Ireland,25-34,Employed,Master,Specialized Technical Roles,Blockchain,80000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, mobile",90000.0,50k-100k
Belgium,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,60000.0,50k-100k
Germany,45-54,Employed,PhD,"Academic, Educational, and Research Roles",Educator,65000.0,50k-100k
Portugal,35-44,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80000.0,50k-100k
Slovakia,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",50921.42857142857,50k-100k
Spain,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,45588.00806451613,0-50k
Greece,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",45584.52413793103,0-50k
Spain,35-44,Employed,Master,Specialized Technical Roles,"Developer, QA or test",45000.0,0-50k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",75647.9641025641,50k-100k
Belgium,35-44,Freelancer,Bachelor,Data Science and Analysis Roles,Data scientist or machine learning specialist,155000.0,100k-200k
Spain,25-34,Employed,Master,Software Development Roles,"Developer, back-end",29000.0,0-50k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, back-end",14000.0,0-50k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",55000.0,50k-100k
Netherlands,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
Slovakia,35-44,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",46112.03225806452,0-50k
Poland,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Germany,35-44,Freelancer,PhD,Specialized Technical Roles,Blockchain,100000.0,100k-200k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, back-end",74286.58673469388,50k-100k
Austria,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Germany,18-24,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",5400.0,0-50k
Finland,45-54,Freelancer,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,65061.90476190476,50k-100k
Belgium,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",238925.8823529412,200k-500k
France,18-24,Employed,Master,Software Development Roles,"Developer, back-end",61573.302305721605,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",45000.0,0-50k
Netherlands,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,102000.0,100k-200k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",60480.0,50k-100k
Belgium,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",64831.26519337016,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Portugal,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",96332.63829787234,50k-100k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",55000.0,50k-100k
Netherlands,35-44,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,87834.77966101695,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",71.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Belgium,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",48000.0,0-50k
Germany,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Project manager,75312.76595744681,50k-100k
Spain,25-34,Employed,Master,Software Development Roles,"Developer, back-end",55000.0,50k-100k
France,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
Portugal,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",32000.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",80975.01548387097,50k-100k
Belgium,35-44,Freelancer,PhD,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Austria,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",58000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, mobile",55000.0,50k-100k
Slovenia,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, mobile",45000.0,0-50k
Netherlands,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
Romania,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Poland,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",40000.0,0-50k
France,25-34,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,50000.0,50k-100k
Germany,18-24,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,80975.01548387097,50k-100k
France,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,67008.79096045198,50k-100k
Netherlands,35-44,Freelancer,PhD,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",75000.0,50k-100k
Croatia,35-44,Employed,Master,Software Development Roles,"Developer, back-end",20000.0,0-50k
Germany,18-24,Employed,Bachelor,"Academic, Educational, and Research Roles",Research & Development role,84000.0,50k-100k
Latvia,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",50641.89189189189,50k-100k
France,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",24000.0,0-50k
Slovakia,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",110000.0,100k-200k
Ireland,45-54,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",77000.0,50k-100k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",140000.0,100k-200k
Germany,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",46000.0,0-50k
Austria,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",72000.0,50k-100k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",85465.0,50k-100k
France,35-44,Employed,Master,Specialized Technical Roles,Security professional,56000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Germany,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,66500.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",38000.0,0-50k
Germany,45-54,Freelancer,Master,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",63000.0,50k-100k
Romania,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",71171.63793103448,50k-100k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,85000.0,50k-100k
France,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Germany,35-44,Freelancer,Master,Data Science and Analysis Roles,Data or business analyst,32800.0,0-50k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, back-end",87023.48401826483,50k-100k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Austria,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,88800.0,50k-100k
Slovakia,35-44,Freelancer,Master,Software Development Roles,"Developer, front-end",50921.42857142857,50k-100k
Portugal,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",25000.0,0-50k
Austria,25-34,Freelancer,PhD,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,250000.0,200k-500k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Romania,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
Slovakia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Germany,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",120000.0,100k-200k
Belgium,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",40000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",75312.76595744681,50k-100k
Germany,25-34,Freelancer,Master,"Management, Leadership, and Advocacy Roles",Product manager,72000.0,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, mobile",60000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Hungary,25-34,Employed,Master,Software Development Roles,"Developer, front-end",108666.66666666669,100k-200k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",33000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Latvia,35-44,Employed,PhD,Software Development Roles,"Developer, desktop or enterprise applications",43500.0,0-50k
Netherlands,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,200000.0,200k-500k
Portugal,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,62083.333333333336,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",67000.0,50k-100k
Portugal,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,85000.0,50k-100k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, back-end",85000.0,50k-100k
Spain,25-34,Employed,PhD,Data Science and Analysis Roles,Data or business analyst,34000.0,0-50k
Netherlands,55-64,Employed,Master,Data Science and Analysis Roles,Data or business analyst,73000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",83000.0,50k-100k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",46000.0,0-50k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, desktop or enterprise applications",88000.0,50k-100k
Belgium,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,60000.0,50k-100k
Germany,25-34,Employed,Bachelor,Data Science and Analysis Roles,Data scientist or machine learning specialist,60000.0,50k-100k
Austria,35-44,Employed,Master,Software Development Roles,"Developer, mobile",105600.0,100k-200k
Belgium,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",105000.0,100k-200k
Czech Republic,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,50000.0,50k-100k
Ireland,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",85000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
Austria,45-54,Employed,Bachelor,Specialized Technical Roles,"Developer, QA or test",60000.0,50k-100k
Germany,18-24,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",System administrator,75312.76595744681,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",57000.0,50k-100k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
France,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,100000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",75000.0,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, back-end",84000.0,50k-100k
Malta,25-34,Employed,Bachelor,Other Professional Roles,"Developer, game or graphics",52777.77777777778,50k-100k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
